R 5354 65 000053b8 1 00000040 9201 37c34a7478544c14 5f82ecacd39529cd vb=1486:18898v nv=18898 s0=3:1916:2048x2048 s1=3:1917:2048x2048 s2=3:537:32x32 s3=3:1487:2048x2048 s4=5:728:- s5=3:1918:32x32 s6=3:1919:32x32 c3=(0.500,0.000,0.000) c4=(1.000,0.000,0.000) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(2.835,0.000,0.000) c10=(5.757,0.000,0.000) c11=(0.976,0.000,0.000) c12=(0.524,0.000,0.000) c13=(1.000,0.000,0.000)
R 5354 66 000053b8 1 00000040 252 37c34a7478544c14 f1b0e820c7b488c3 vb=1489:438v nv=438 s0=3:1856:512x128 s1=3:1857:512x128 s2=3:447:512x128 s3=3:448:512x128 s4=5:728:- s5=3:1918:32x32 s6=3:1815:32x32 c3=(0) c4=(0) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 5354 193 00004f75 1 00000040 658 4944d81dfe531b37 ca6bfa4a6cca7e2a vb=1065:1715v nv=1715 s0=3:1937:1024x1024 s1=3:1938:1024x1024 s2=3:537:32x32 s3=3:1066:1024x1024 s4=5:728:- s5=3:1814:32x32 s6=3:1815:32x32 c3=(1.000,0.000,0.000) c4=(-0.298,0.451,-0.841) c5=(0.664,0.781,0.586) c6=(0.950,0.227,0.213) c7=(0.129,0.258,0.215) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 5354 194 00004f75 1 00000040 658 4944d81dfe531b37 ca6bfa4a6cca7e2a vb=1065:1715v nv=1715 s0=3:1937:1024x1024 s1=3:1938:1024x1024 s2=3:537:32x32 s3=3:1066:1024x1024 s4=5:728:- s5=3:1814:32x32 s6=3:1815:32x32 c3=(1.000,0.000,0.000) c4=(-0.304,0.454,-0.838) c5=(0.664,0.781,0.586) c6=(0.947,0.232,0.222) c7=(0.129,0.258,0.215) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 5354 195 00004f76 1 00000040 756 4944d81dfe531b37 ca6bfa4a6cca7e2a vb=1491:1985v nv=1985 s0=3:1939:1024x1024 s1=3:1940:1024x1024 s2=3:537:32x32 s3=3:1492:1024x1024 s4=5:728:- s5=3:1814:32x32 s6=3:1815:32x32 c3=(1.000,0.000,0.000) c4=(-0.301,0.454,-0.839) c5=(0.664,0.781,0.586) c6=(0.948,0.231,0.219) c7=(0.129,0.258,0.215) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 5354 196 00004f72 1 00000040 553 4944d81dfe531b37 ca6bfa4a6cca7e2a vb=1481:1432v nv=1432 s0=3:1941:2048x2048 s1=3:1942:2048x2048 s2=3:537:32x32 s3=3:1482:2048x2048 s4=5:728:- s5=3:1814:32x32 s6=3:1815:32x32 c3=(1.000,0.000,0.000) c4=(-0.306,0.452,-0.838) c5=(0.664,0.781,0.586) c6=(0.947,0.228,0.225) c7=(0.129,0.258,0.215) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 65 000053b8 0 00000040 8 37c34a7478544c14 f1b0e820c7b488c3 vb=547:16v nv=16 s0=3:1928:1024x1024 s1=3:1929:1024x1024 s2=3:548:1024x1024 s3=3:549:32x32 s4=5:728:- s5=3:1955:32x32 s6=3:1815:32x32 c3=(0.500,0.000,0.000) c4=(0) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 66 000053b8 0 00000040 128 37c34a7478544c14 f1b0e820c7b488c3 vb=551:248v nv=248 s0=3:1849:512x512 s1=3:1850:512x512 s2=3:431:512x512 s3=3:432:512x512 s4=5:728:- s5=3:1955:32x32 s6=3:1815:32x32 c3=(0.500,0.000,0.000) c4=(0) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 67 000053b8 0 00000040 1780 37c34a7478544c14 5f82ecacd39529cd vb=553:2125v nv=2125 s0=3:1851:1024x1024 s1=3:1852:1024x1024 s2=3:435:1024x1024 s3=3:436:1024x1024 s4=5:728:- s5=3:1955:32x32 s6=3:1815:32x32 c3=(0.500,0.000,0.000) c4=(1.000,0.000,0.000) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(2.400,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 68 000053b8 0 00000040 1644 37c34a7478544c14 5f82ecacd39529cd vb=555:3152v nv=3152 s0=3:1851:1024x1024 s1=3:1852:1024x1024 s2=3:435:1024x1024 s3=3:439:1024x1024 s4=5:728:- s5=3:1955:32x32 s6=3:1815:32x32 c3=(0.500,0.000,0.000) c4=(1.000,0.000,0.000) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 69 000053b8 0 00000040 4315 37c34a7478544c14 5f82ecacd39529cd vb=557:10360v nv=10360 s0=3:1853:1024x1024 s1=3:1854:1024x1024 s2=3:442:1024x1024 s3=3:549:32x32 s4=5:728:- s5=3:1955:32x32 s6=3:1815:32x32 c3=(0.500,0.000,0.000) c4=(1.000,0.000,0.000) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 70 000053b8 0 00000040 1680 37c34a7478544c14 5f82ecacd39529cd vb=559:2678v nv=2678 s0=3:1855:1024x1024 s1=3:1854:1024x1024 s2=3:442:1024x1024 s3=3:549:32x32 s4=5:728:- s5=3:1955:32x32 s6=3:1854:1024x1024 c3=(0.500,0.000,0.000) c4=(1.000,0.000,0.000) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 71 000053b8 0 00000040 216 37c34a7478544c14 f1b0e820c7b488c3 vb=561:362v nv=362 s0=3:1856:512x128 s1=3:1857:512x128 s2=3:447:512x128 s3=3:448:512x128 s4=5:728:- s5=3:1955:32x32 s6=3:1815:32x32 c3=(0) c4=(0) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 72 000053b8 0 00000040 840 37c34a7478544c14 f1b0e820c7b488c3 vb=563:1322v nv=1322 s0=3:1860:512x128 s1=3:1861:512x128 s2=3:455:512x128 s3=3:456:512x128 s4=5:728:- s5=3:1955:32x32 s6=3:1815:32x32 c3=(0.500,0.000,0.000) c4=(0) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
R 6300 73 000053b8 0 00000040 80 37c34a7478544c14 f1b0e820c7b488c3 vb=565:136v nv=136 s0=3:1862:512x128 s1=3:1863:512x128 s2=3:459:512x128 s3=3:460:512x128 s4=5:728:- s5=3:1955:32x32 s6=3:1815:32x32 c3=(0.500,0.000,0.000) c4=(0) c5=(-0.302,0.453,-0.838) c6=(0.664,0.781,0.586) c7=(0.948,0.231,0.219) c8=(0.129,0.258,0.215) c9=(3.000,0.000,0.000) c10=(6.000,0.000,0.000) c11=(1.000,0.000,0.000) c12=(0.500,0.000,0.000) c13=(1.000,0.000,0.000)
