win frames dt50 dt90 | scene engine fog_route fog_march fog_composite fog_repair motes taa taa_copy taa_mask taa_mask_tests taa_mask_x taa_mask_y taa_box taa_resolve taa_display bloom present | npass sum_of_leaf_and_top_medians(n>=150, excl. taa/fog_route/taa_mask_* nests; scene included) | rot50 rot90 still% | census(ppm,needs_px,p90,max,scale,missed)
W1 0..299 23.5 26.7 | 19.81 8.83 15.51 10.32 1.25 1.16 0.21 7.99 0.02 4.15 2.00 1.39 0.68 2.22 2.67 nan 2.67 2.10 | 24 21.9 | 1.096 1.096 0 | ('22', '164', '180', '180', '2', '0')
W2 300..599 44.8 47.9 | 40.32 6.58 14.24 9.78 1.15 1.15 0.20 8.67 0.02 2.92 1.50 0.67 0.66 2.21 3.48 nan 2.66 1.89 | 24 77.3 | 0.278 1.096 22 | ('23', '176', '202', '239', '2', '0')
W3 600..899 44.8 47.8 | 39.49 6.69 14.10 9.59 1.14 1.14 0.20 8.05 0.02 2.92 1.50 0.67 0.66 2.21 2.78 nan 2.66 1.90 | 24 75.6 | 0.277 0.277 0 | ('23', '173', '192', '199', '2', '0')
W4 900..1199 43.7 46.0 | 39.66 6.79 14.13 9.63 1.14 1.14 0.20 8.07 0.02 2.92 1.50 0.67 0.66 2.21 2.78 nan 2.65 1.88 | 24 75.9 | 0.277 0.277 0 | ('24', '177', '195', '204', '2', '0')
W5 1200..1499 45.9 48.2 | 40.23 7.01 14.12 9.67 1.14 1.14 0.20 8.22 0.02 2.92 1.50 0.67 0.66 2.21 2.80 nan 2.66 1.89 | 24 76.8 | 0.213 0.277 11 | ('23', '176', '196', '213', '2', '0')
W6 1500..1799 45.7 48.2 | 40.75 7.67 12.70 8.16 1.14 1.15 0.20 8.81 0.02 2.93 1.50 0.67 0.66 2.21 3.49 nan 2.66 1.88 | 24 77.6 | 0.800 1.169 1 | ('27', '203', '387', '462', '2', '0')
W7 1800..2099 46.2 50.0 | 41.06 7.52 13.59 8.99 1.16 1.16 0.21 8.91 0.02 2.95 1.51 0.68 0.67 2.22 3.50 nan 2.69 1.98 | 24 79.0 | 0.469 0.865 11 | ('31', '229', '294', '343', '2', '0')
W8 2100..2399 48.4 50.8 | 42.99 8.42 14.11 9.46 1.18 1.16 0.22 8.94 0.02 2.97 1.51 0.68 0.67 2.22 3.50 nan 2.70 2.00 | 24 82.4 | 0.752 1.956 3 | ('30', '228', '358', '471', '2', '0')
W9 2400..2699 50.7 55.5 | 42.51 8.90 13.68 9.10 1.15 1.16 0.32 8.24 0.02 2.96 1.51 0.68 0.67 2.15 2.81 nan 2.69 1.97 | 24 81.3 | 0.000 0.428 75 | ('45', '334', '448', '490', '2', '0')
W10 2700..2999 47.0 50.3 | 42.54 8.68 13.18 8.65 1.15 1.16 0.21 8.85 0.02 2.96 1.51 0.68 0.67 2.13 3.49 nan 2.69 1.93 | 24 81.3 | 1.044 1.241 0 | ('40', '297', '492', '632', '2', '0')
W11 3000..3299 46.1 49.0 | 41.28 7.20 13.24 8.67 1.16 1.16 0.21 8.92 0.02 2.96 1.51 0.68 0.67 2.23 3.51 nan 2.70 1.92 | 24 79.1 | 0.417 0.884 11 | ('11', '87', '112', '188', '2', '0')
W12 3300..3599 44.6 47.9 | 40.30 9.32 11.15 6.41 1.15 1.25 0.21 8.28 0.02 2.95 1.51 0.68 0.67 2.12 3.01 nan 2.69 1.85 | 24 76.8 | 1.528 2.823 0 | ('82', '2092', '4306', '4364', '2', '0')
W13 3600..3899 41.6 44.3 | 37.39 6.38 11.15 6.63 1.15 1.15 0.20 8.89 0.02 2.95 1.51 0.68 0.67 2.21 3.50 nan 2.67 1.91 | 24 71.5 | 0.619 0.781 14 | ('39', '597', '894', '1074', '2', '0')
W14 3900..4199 46.9 49.9 | 41.90 8.07 12.10 7.37 1.28 1.18 0.23 9.56 0.03 3.25 1.54 0.81 0.80 2.25 3.87 nan 2.77 2.28 | 24 80.4 | 0.812 2.094 0 | ('1', '205', '562', '854', '2', '0')
n per pass in last window: {'scene': 300, 'engine': 300, 'shadow_depth': 300, 'sun_apply': 300, 'retention': 300, 'fog_fill': 300, 'fog_route': 300, 'motes': 300, 'taa': 300, 'hdr_writeback': 300, 'meter': 300, 'hdr_readback': 300, 'bloom': 300, 'present': 300, 'taa_copy': 300, 'taa_mask': 300, 'taa_box': 300, 'taa_resolve': 300, 'fog_march': 300, 'fog_composite': 300, 'fog_repair': 300, 'taa_mask_tests': 300, 'taa_mask_x': 300, 'taa_mask_y': 300}
