== /tmp/x3-bottleX3-run300/session-20260924-171416-212.log frames 24205..24212 whole-frame: px mean>1e-3 7115501 rel_std p50 0.0000 p99 0.8343
rel_std_p99 body node lod s px rel_std_p50 share_relstd>0.1 share_step>0.25
1.6683 terran_spp_panel 3ae95578 lod=1 s=107 px=17345 p50=0.0526 >0.1:0.3990 step>0.25:0.4092
1.6278 terran_TL_atmolifter 3f086d28 lod=1 s=6 px=1848 p50=0.1424 >0.1:0.6201 step>0.25:0.6585
1.5976 usc_dock_c_left_arm 28e04240 lod=1 s=43 px=128891 p50=0.0660 >0.1:0.4202 step>0.25:0.4346
1.5688 usc_dock_c_right_rings 28e04740 lod=1 s=50 px=169901 p50=0.0471 >0.1:0.3797 step>0.25:0.3924
1.3993 terran_spp_panel 33d19fe8 lod=1 s=118 px=24846 p50=0.0267 >0.1:0.3447 step>0.25:0.3512
1.3813 usc_dock_c_core_bottom 28e03d40 lod=1 s=75 px=221908 p50=0.0000 >0.1:0.2552 step>0.25:0.2641
1.3628 terran_spp_panel 3ae95a78 lod=1 s=99 px=21051 p50=0.0257 >0.1:0.3608 step>0.25:0.3678
1.3505 terran_spp_bottom 33d19368 lod=1 s=42 px=67614 p50=0.0234 >0.1:0.2997 step>0.25:0.3067
1.3128 terran_spp_panel 33d19868 lod=1 s=127 px=39975 p50=0.0232 >0.1:0.3643 step>0.25:0.3702
1.2662 terran_spp_panel 3ae96478 lod=1 s=106 px=19902 p50=0.0016 >0.1:0.3469 step>0.25:0.3520
1.2524 terran_spp_panel 33d19ae8 lod=1 s=118 px=28558 p50=0.0000 >0.1:0.3699 step>0.25:0.3705
1.2330 terran_spp_panel 33d19d68 lod=1 s=114 px=32364 p50=0.0000 >0.1:0.3340 step>0.25:0.3345
1.2118 usc_small_station_d 28ab33b8 lod=1 s=54 px=410911 p50=0.0000 >0.1:0.1678 step>0.25:0.1733
1.1966 terran_spp_center 33d1a9e8 lod=1 s=96 px=304545 p50=0.0107 >0.1:0.2362 step>0.25:0.2402
1.1376 usc_dock_c_core_top 28e03ac0 lod=1 s=123 px=483999 p50=0.0000 >0.1:0.1442 step>0.25:0.1489
1.1336 turretdummy3 60db20d8 lod=1 s=11 px=700 p50=0.1082 >0.1:0.5157 step>0.25:0.5314
1.1325 terran_spp_panel 3ae957f8 lod=1 s=128 px=45258 p50=0.0000 >0.1:0.2265 step>0.25:0.2286
1.1069 terran_spp_panel 33d1a4e8 lod=1 s=140 px=92925 p50=0.0000 >0.1:0.1972 step>0.25:0.1996
1.0845 terran_spp_panel 33d1a268 lod=1 s=128 px=43992 p50=0.0289 >0.1:0.3049 step>0.25:0.3103
1.0456 usc_dock_e_upper_core 32f56710 lod=0 s=365 px=526279 p50=0.0000 >0.1:0.1395 step>0.25:0.1464
1.0371 terran_spp_panel 3ae95cf8 lod=1 s=160 px=98325 p50=0.0129 >0.1:0.2139 step>0.25:0.2123
0.9991 terran_m6 60db1e58 lod=0 s=310 px=381446 p50=0.0136 >0.1:0.2214 step>0.25:0.2343
0.9900 usc_dock_e_right_rings 32f56e90 lod=1 s=129 px=108298 p50=0.0315 >0.1:0.2659 step>0.25:0.2814
0.9869 terran_spp_panel 3ae961f8 lod=1 s=159 px=97650 p50=0.0145 >0.1:0.1812 step>0.25:0.1894
0.9812 terran_spp_panel 3ae966f8 lod=1 s=127 px=38304 p50=0.0148 >0.1:0.2073 step>0.25:0.2099
ODS rows:
  1.0456 usc_dock_e_upper_core lod=0 s=365 px=526279 p50=0.0000 >0.1:0.1395 step>0.25:0.1464 rank=20/35
  0.9900 usc_dock_e_right_rings lod=1 s=129 px=108298 p50=0.0315 >0.1:0.2659 step>0.25:0.2814 rank=23/35
  0.9786 usc_dock_e_lower_core lod=0 s=300 px=756996 p50=0.0000 >0.1:0.1012 step>0.25:0.1052 rank=26/35
  0.8975 usc_dock_e_tower lod=0 s=689 px=4636099 p50=0.0013 >0.1:0.1292 step>0.25:0.1353 rank=31/35
  0.8361 usc_dock_e_left_rings lod=0 s=206 px=841494 p50=0.0000 >0.1:0.0702 step>0.25:0.0731 rank=33/35
