== /tmp/x3-bottleX3-run300/session-20260924-171416-212.log frames 23593..23600 whole-frame: px mean>1e-3 7177686 rel_std p50 0.0000 p99 0.6425
rel_std_p99 body node lod s px rel_std_p50 share_relstd>0.1 share_step>0.25
1.9530 ATF_M6M 3f0710b0 lod=1 s=4 px=336 p50=0.0000 >0.1:0.2321 step>0.25:0.2351
1.8532 usc_dock_c_right_rings 28e04740 lod=1 s=52 px=17709 p50=0.0724 >0.1:0.4572 step>0.25:0.4724
1.8484 usc_dock_c_left_arm 28e04240 lod=1 s=45 px=11490 p50=0.0981 >0.1:0.4964 step>0.25:0.5155
1.6711 usc_dock_c_left_rings 28e044c0 lod=1 s=45 px=12110 p50=0.0000 >0.1:0.3334 step>0.25:0.3396
1.6578 usc_small_station_d 28ab33b8 lod=1 s=56 px=52049 p50=0.0000 >0.1:0.2904 step>0.25:0.3011
1.6412 usc_dock_c_tower 28e03840 lod=1 s=75 px=25965 p50=0.0000 >0.1:0.2421 step>0.25:0.2609
1.5570 usc_dock_c_core_bottom 28e03d40 lod=1 s=84 px=50414 p50=0.0000 >0.1:0.2376 step>0.25:0.2445
1.5539 terran_TL_atmolifter 3f086d28 lod=1 s=5 px=333 p50=0.1243 >0.1:0.6156 step>0.25:0.6486
1.4773 usc_dock_c_right_arm 28e03fc0 lod=1 s=55 px=23000 p50=0.0000 >0.1:0.2265 step>0.25:0.2304
1.4646 turretdummy3 60f696e8 lod=1 s=11 px=700 p50=0.1058 >0.1:0.5157 step>0.25:0.5257
1.4241 usc_dock_c_core_top 28e03ac0 lod=1 s=137 px=111487 p50=0.0000 >0.1:0.1816 step>0.25:0.1874
1.2924 terran_m6 60db1e58 lod=0 s=310 px=366029 p50=0.0035 >0.1:0.1973 step>0.25:0.2095
1.2480 turretdummy3 60db20d8 lod=1 s=11 px=700 p50=0.1325 >0.1:0.5514 step>0.25:0.5586
1.1086 ATF_M6M 3ae9ccc8 lod=1 s=4 px=272 p50=0.0297 >0.1:0.1434 step>0.25:0.1654
1.0955 usc_dock_e_lower_core 32f56990 lod=0 s=264 px=373284 p50=0.0000 >0.1:0.1691 step>0.25:0.1787
1.0597 usc_dock_e_upper_core 32f56710 lod=0 s=374 px=504682 p50=0.0000 >0.1:0.1538 step>0.25:0.1633
0.9891 usc_dock_e_right_rings 32f56e90 lod=1 s=137 px=155407 p50=0.0196 >0.1:0.2311 step>0.25:0.2475
0.9650 usc_dock_e_left_rings 32f56c10 lod=1 s=154 px=204572 p50=0.0000 >0.1:0.1012 step>0.25:0.1058
0.8957 usc_small_station_d 28df70a8 lod=1 s=44 px=37327 p50=0.0409 >0.1:0.2899 step>0.25:0.3100
0.6425 usc_dock_e_tower 32f56490 lod=0 s=1070 px=7177686 p50=0.0000 >0.1:0.0683 step>0.25:0.0730
0.5357 terran_catapult_gate 28aac5a0 lod=1 s=87 px=48766 p50=0.0236 >0.1:0.1971 step>0.25:0.2051
0.2038 ATF_M6M 3f062058 lod=1 s=4 px=368 p50=0.0390 >0.1:0.1522 step>0.25:0.1793
0.0731 ATF_M6M 3f068260 lod=1 s=4 px=340 p50=0.0172 >0.1:0.0029 step>0.25:0.0029
ODS rows:
  1.0955 usc_dock_e_lower_core lod=0 s=264 px=373284 p50=0.0000 >0.1:0.1691 step>0.25:0.1787 rank=15/23
  1.0597 usc_dock_e_upper_core lod=0 s=374 px=504682 p50=0.0000 >0.1:0.1538 step>0.25:0.1633 rank=16/23
  0.9891 usc_dock_e_right_rings lod=1 s=137 px=155407 p50=0.0196 >0.1:0.2311 step>0.25:0.2475 rank=17/23
  0.9650 usc_dock_e_left_rings lod=1 s=154 px=204572 p50=0.0000 >0.1:0.1012 step>0.25:0.1058 rank=18/23
  0.6425 usc_dock_e_tower lod=0 s=1070 px=7177686 p50=0.0000 >0.1:0.0683 step>0.25:0.0730 rank=20/23
