frames shadow_depth sun_apply taa_mask taa_box taa_resolve taa scene dt_median_us
0..299 1209 1565 1545 1307 2442 5525 21207 25224
300..599 1204 1458 1531 1299 2444 5449 32202 35744
600..899 1185 1551 1541 1407 2449 5564 31131 34769
900..1199 1118 1543 1536 1303 2455 5544 29948 33941
1200..1499 1053 1435 1527 1293 2438 5433 30576 34064
1500..1799 1069 1488 1530 1302 2541 5528 32589 36493
1800..2099 1059 1438 1448 1296 2439 5425 32493 36310
2100..2399 1064 1444 1441 1297 2454 5443 32608 36677
2400..2699 841 1436 1430 1296 2447 5418 30180 33896
2700..2999 836 1433 1426 1294 2436 5330 28793 32351
3000..3299 821 1438 1434 1297 2442 5363 28743 32300
3300..3599 813 1439 1438 1298 2441 5366 29087 32949
3600..3899 819 1445 1442 1301 2446 5400 29039 32898
3900..4199 829 1450 1449 1305 2457 5470 28745 32628
4200..4499 839 1459 1451 1308 2462 5467 28912 33173
4500..4799 822 1446 1443 1304 2477 5473 28544 32615
4800..5099 823 1446 1448 1301 2538 5466 28603 32527
