frame=18300 dt_p50=21462 dt_p95=26702 fps_p50=46.6 draws_p50=325 draw_p50_us=3034
frame=18600 dt_p50=20702 dt_p95=26087 fps_p50=48.3 draws_p50=318 draw_p50_us=2907
frame=18900 dt_p50=17841 dt_p95=24321 fps_p50=56.1 draws_p50=263 draw_p50_us=2364
frame=19200 dt_p50=14196 dt_p95=17010 fps_p50=70.4 draws_p50=161 draw_p50_us=1449
frame=19500 dt_p50=14037 dt_p95=17861 fps_p50=71.2 draws_p50=162 draw_p50_us=1497
frame=19800 dt_p50=14679 dt_p95=19070 fps_p50=68.1 draws_p50=465 draw_p50_us=1810
frame=20100 dt_p50=14939 dt_p95=20307 fps_p50=66.9 draws_p50=502 draw_p50_us=1841
frame=20400 dt_p50=16475 dt_p95=21415 fps_p50=60.7 draws_p50=518 draw_p50_us=1939
frame=20700 dt_p50=16473 dt_p95=20322 fps_p50=60.7 draws_p50=542 draw_p50_us=1961
frame=21000 dt_p50=14896 dt_p95=22319 fps_p50=67.1 draws_p50=202 draw_p50_us=1824
frame=21300 dt_p50=15581 dt_p95=19754 fps_p50=64.2 draws_p50=212 draw_p50_us=1894
frame=21600 dt_p50=17871 dt_p95=23206 fps_p50=56.0 draws_p50=239 draw_p50_us=2118
frame=21900 dt_p50=17931 dt_p95=22682 fps_p50=55.8 draws_p50=238 draw_p50_us=2116
frame=22200 dt_p50=17122 dt_p95=21548 fps_p50=58.4 draws_p50=237 draw_p50_us=2116
frame=22500 dt_p50=17799 dt_p95=23049 fps_p50=56.2 draws_p50=234 draw_p50_us=2169
frame=22800 dt_p50=19959 dt_p95=25585 fps_p50=50.1 draws_p50=279 draw_p50_us=2530
frame=23100 dt_p50=19024 dt_p95=23551 fps_p50=52.6 draws_p50=243 draw_p50_us=2230
frame=23400 dt_p50=17932 dt_p95=22440 fps_p50=55.8 draws_p50=172 draw_p50_us=1661
frame=23700 dt_p50=14231 dt_p95=18130 fps_p50=70.3 draws_p50=105 draw_p50_us=966
frame=24000 dt_p50=11955 dt_p95=18268 fps_p50=83.6 draws_p50=55 draw_p50_us=483
frame=24300 dt_p50=10257 dt_p95=14746 fps_p50=97.5 draws_p50=36 draw_p50_us=303
frame=24600 dt_p50=10429 dt_p95=13091 fps_p50=95.9 draws_p50=49 draw_p50_us=416
frame=24900 dt_p50=10670 dt_p95=15427 fps_p50=93.7 draws_p50=52 draw_p50_us=458
frame=25200 dt_p50=10851 dt_p95=13585 fps_p50=92.2 draws_p50=78 draw_p50_us=581
frame=25500 dt_p50=10603 dt_p95=14896 fps_p50=94.3 draws_p50=75 draw_p50_us=575
frame=25800 dt_p50=10428 dt_p95=13503 fps_p50=95.9 draws_p50=76 draw_p50_us=584
frame=26100 dt_p50=14895 dt_p95=18350 fps_p50=67.1 draws_p50=190 draw_p50_us=1560
frame=26400 dt_p50=15427 dt_p95=17658 fps_p50=64.8 draws_p50=205 draw_p50_us=1627
frame=26700 dt_p50=15703 dt_p95=21122 fps_p50=63.7 draws_p50=197 draw_p50_us=1615
frame=27000 dt_p50=17631 dt_p95=22136 fps_p50=56.7 draws_p50=213 draw_p50_us=1857
frame=27300 dt_p50=17376 dt_p95=22095 fps_p50=57.6 draws_p50=208 draw_p50_us=1843
frame=27600 dt_p50=17787 dt_p95=21800 fps_p50=56.2 draws_p50=224 draw_p50_us=2098
frame=27900 dt_p50=19073 dt_p95=22341 fps_p50=52.4 draws_p50=282 draw_p50_us=2542
frame=28200 dt_p50=17819 dt_p95=22494 fps_p50=56.1 draws_p50=260 draw_p50_us=2364
frame=28500 dt_p50=13668 dt_p95=16892 fps_p50=73.2 draws_p50=121 draw_p50_us=1137
frame=28800 dt_p50=13463 dt_p95=16549 fps_p50=74.3 draws_p50=124 draw_p50_us=1170
frame=29100 dt_p50=13819 dt_p95=16659 fps_p50=72.4 draws_p50=104 draw_p50_us=950
frame=29400 dt_p50=12078 dt_p95=16182 fps_p50=82.8 draws_p50=69 draw_p50_us=636
