frame=300 dt_p50=14251 dt_p95=22062 fps_p50=70.2 draws_p50=459 draw_p50_us=1678
frame=600 dt_p50=14394 dt_p95=18549 fps_p50=69.5 draws_p50=496 draw_p50_us=1706
frame=900 dt_p50=12574 dt_p95=16000 fps_p50=79.5 draws_p50=153 draw_p50_us=1381
frame=1200 dt_p50=13510 dt_p95=15888 fps_p50=74.0 draws_p50=166 draw_p50_us=1435
frame=1500 dt_p50=13980 dt_p95=16625 fps_p50=71.5 draws_p50=159 draw_p50_us=1450
frame=1800 dt_p50=12764 dt_p95=14622 fps_p50=78.3 draws_p50=130 draw_p50_us=1085
frame=2100 dt_p50=13330 dt_p95=15947 fps_p50=75.0 draws_p50=136 draw_p50_us=1123
frame=2400 dt_p50=12698 dt_p95=15339 fps_p50=78.8 draws_p50=137 draw_p50_us=1159
frame=2700 dt_p50=14612 dt_p95=18313 fps_p50=68.4 draws_p50=137 draw_p50_us=1154
frame=3000 dt_p50=13764 dt_p95=15390 fps_p50=72.7 draws_p50=142 draw_p50_us=1169
frame=3300 dt_p50=13323 dt_p95=15629 fps_p50=75.1 draws_p50=158 draw_p50_us=1342
frame=3600 dt_p50=14050 dt_p95=17166 fps_p50=71.2 draws_p50=160 draw_p50_us=1379
frame=3900 dt_p50=12716 dt_p95=15204 fps_p50=78.6 draws_p50=138 draw_p50_us=1152
frame=4200 dt_p50=13911 dt_p95=15616 fps_p50=71.9 draws_p50=156 draw_p50_us=1393
frame=4500 dt_p50=13883 dt_p95=15906 fps_p50=72.0 draws_p50=156 draw_p50_us=1397
frame=4800 dt_p50=14220 dt_p95=17482 fps_p50=70.3 draws_p50=156 draw_p50_us=1386 <== burst
frame=5100 dt_p50=14364 dt_p95=16818 fps_p50=69.6 draws_p50=147 draw_p50_us=1303
frame=5400 dt_p50=13400 dt_p95=16237 fps_p50=74.6 draws_p50=114 draw_p50_us=1012
frame=5700 dt_p50=12290 dt_p95=13885 fps_p50=81.4 draws_p50=106 draw_p50_us=938
frame=6000 dt_p50=12817 dt_p95=15052 fps_p50=78.0 draws_p50=128 draw_p50_us=1122
frame=6300 dt_p50=13772 dt_p95=15909 fps_p50=72.6 draws_p50=132 draw_p50_us=1193
frame=6600 dt_p50=11020 dt_p95=13205 fps_p50=90.7 draws_p50=63 draw_p50_us=547
frame=6900 dt_p50=10635 dt_p95=15813 fps_p50=94.0 draws_p50=65 draw_p50_us=558
frame=7200 dt_p50=11106 dt_p95=13670 fps_p50=90.0 draws_p50=73 draw_p50_us=657
frame=7500 dt_p50=10365 dt_p95=14981 fps_p50=96.5 draws_p50=80 draw_p50_us=703
frame=7800 dt_p50=9911 dt_p95=13034 fps_p50=100.9 draws_p50=62 draw_p50_us=542
frame=8100 dt_p50=13480 dt_p95=15505 fps_p50=74.2 draws_p50=159 draw_p50_us=1405
frame=8400 dt_p50=16273 dt_p95=18948 fps_p50=61.5 draws_p50=219 draw_p50_us=1928
frame=8700 dt_p50=15380 dt_p95=17625 fps_p50=65.0 draws_p50=191 draw_p50_us=1718
frame=9000 dt_p50=15281 dt_p95=17515 fps_p50=65.4 draws_p50=179 draw_p50_us=1576
frame=9300 dt_p50=12877 dt_p95=15311 fps_p50=77.7 draws_p50=144 draw_p50_us=1261
frame=9600 dt_p50=15472 dt_p95=17850 fps_p50=64.6 draws_p50=212 draw_p50_us=1877
frame=9900 dt_p50=15542 dt_p95=17924 fps_p50=64.3 draws_p50=188 draw_p50_us=1614
frame=10200 dt_p50=16731 dt_p95=19376 fps_p50=59.8 draws_p50=202 draw_p50_us=1799
frame=10500 dt_p50=15759 dt_p95=17886 fps_p50=63.5 draws_p50=213 draw_p50_us=1894
frame=10800 dt_p50=15513 dt_p95=17444 fps_p50=64.5 draws_p50=193 draw_p50_us=1696
frame=11100 dt_p50=13896 dt_p95=15962 fps_p50=72.0 draws_p50=164 draw_p50_us=1454
frame=11400 dt_p50=13275 dt_p95=16332 fps_p50=75.3 draws_p50=136 draw_p50_us=1202
frame=11700 dt_p50=12522 dt_p95=15046 fps_p50=79.9 draws_p50=118 draw_p50_us=1099
frame=12000 dt_p50=13611 dt_p95=16229 fps_p50=73.5 draws_p50=114 draw_p50_us=1167
frame=12300 dt_p50=11906 dt_p95=14846 fps_p50=84.0 draws_p50=83 draw_p50_us=736
frame=12600 dt_p50=13704 dt_p95=15466 fps_p50=73.0 draws_p50=168 draw_p50_us=1433
frame=12900 dt_p50=12545 dt_p95=14170 fps_p50=79.7 draws_p50=140 draw_p50_us=1243
frame=13200 dt_p50=14574 dt_p95=17474 fps_p50=68.6 draws_p50=182 draw_p50_us=1578
frame=13500 dt_p50=16603 dt_p95=18694 fps_p50=60.2 draws_p50=193 draw_p50_us=1656
frame=13800 dt_p50=14077 dt_p95=17937 fps_p50=71.0 draws_p50=143 draw_p50_us=1210
frame=14100 dt_p50=14660 dt_p95=16901 fps_p50=68.2 draws_p50=171 draw_p50_us=1403
frame=14400 dt_p50=14394 dt_p95=18021 fps_p50=69.5 draws_p50=188 draw_p50_us=1590
frame=14700 dt_p50=15277 dt_p95=18855 fps_p50=65.5 draws_p50=175 draw_p50_us=1467
frame=15000 dt_p50=13714 dt_p95=17085 fps_p50=72.9 draws_p50=141 draw_p50_us=1257
frame=15300 dt_p50=14973 dt_p95=17443 fps_p50=66.8 draws_p50=122 draw_p50_us=1191
frame=15600 dt_p50=15049 dt_p95=17289 fps_p50=66.4 draws_p50=151 draw_p50_us=1462
frame=15900 dt_p50=13068 dt_p95=15534 fps_p50=76.5 draws_p50=156 draw_p50_us=1414
frame=16200 dt_p50=13389 dt_p95=16034 fps_p50=74.7 draws_p50=159 draw_p50_us=1423
frame=16500 dt_p50=12031 dt_p95=15216 fps_p50=83.1 draws_p50=105 draw_p50_us=962
frame=16800 dt_p50=13567 dt_p95=16000 fps_p50=73.7 draws_p50=146 draw_p50_us=1261
frame=17100 dt_p50=14781 dt_p95=16843 fps_p50=67.7 draws_p50=184 draw_p50_us=1647
frame=17400 dt_p50=12513 dt_p95=14979 fps_p50=79.9 draws_p50=132 draw_p50_us=1211
frame=17700 dt_p50=11644 dt_p95=13851 fps_p50=85.9 draws_p50=100 draw_p50_us=937
frame=18000 dt_p50=13685 dt_p95=15887 fps_p50=73.1 draws_p50=139 draw_p50_us=1266
frame=18300 dt_p50=14140 dt_p95=16337 fps_p50=70.7 draws_p50=162 draw_p50_us=1420
frame=18600 dt_p50=16191 dt_p95=18448 fps_p50=61.8 draws_p50=178 draw_p50_us=1596
frame=18900 dt_p50=14441 dt_p95=16846 fps_p50=69.2 draws_p50=178 draw_p50_us=1471
frame=19200 dt_p50=17216 dt_p95=20171 fps_p50=58.1 draws_p50=227 draw_p50_us=1958
frame=19500 dt_p50=15456 dt_p95=17486 fps_p50=64.7 draws_p50=192 draw_p50_us=1701
frame=19800 dt_p50=16329 dt_p95=18384 fps_p50=61.2 draws_p50=188 draw_p50_us=1668
frame=20100 dt_p50=16707 dt_p95=19351 fps_p50=59.9 draws_p50=214 draw_p50_us=1933
frame=20400 dt_p50=15377 dt_p95=17884 fps_p50=65.0 draws_p50=180 draw_p50_us=1622
frame=20700 dt_p50=14775 dt_p95=17933 fps_p50=67.7 draws_p50=179 draw_p50_us=1611
frame=21000 dt_p50=16181 dt_p95=19015 fps_p50=61.8 draws_p50=225 draw_p50_us=1992
frame=21300 dt_p50=14265 dt_p95=18181 fps_p50=70.1 draws_p50=465 draw_p50_us=1700
frame=21600 dt_p50=14996 dt_p95=18736 fps_p50=66.7 draws_p50=497 draw_p50_us=1801
frame=21900 dt_p50=15278 dt_p95=19239 fps_p50=65.5 draws_p50=507 draw_p50_us=1827
frame=22200 dt_p50=16185 dt_p95=18695 fps_p50=61.8 draws_p50=539 draw_p50_us=1912
frame=22500 dt_p50=15961 dt_p95=18216 fps_p50=62.7 draws_p50=541 draw_p50_us=1868
frame=22800 dt_p50=7313 dt_p95=13727 fps_p50=136.7 draws_p50=37 draw_p50_us=170
frame=23100 dt_p50=8145 dt_p95=22297 fps_p50=122.8 draws_p50=47 draw_p50_us=290
frame=23400 dt_p50=7599 dt_p95=11320 fps_p50=131.6 draws_p50=47 draw_p50_us=275
frame=23700 dt_p50=8282 dt_p95=11504 fps_p50=120.7 draws_p50=44 draw_p50_us=377
frame=24000 dt_p50=8474 dt_p95=19221 fps_p50=118.0 draws_p50=32 draw_p50_us=259
frame=24300 dt_p50=19733 dt_p95=22408 fps_p50=50.7 draws_p50=403 draw_p50_us=3274
frame=24600 dt_p50=10496 dt_p95=12987 fps_p50=95.3 draws_p50=112 draw_p50_us=938
frame=24900 dt_p50=13029 dt_p95=14397 fps_p50=76.8 draws_p50=199 draw_p50_us=1642
frame=25200 dt_p50=15955 dt_p95=23268 fps_p50=62.7 draws_p50=244 draw_p50_us=2228
frame=25500 dt_p50=14866 dt_p95=21980 fps_p50=67.3 draws_p50=243 draw_p50_us=2030
frame=25800 dt_p50=12154 dt_p95=14101 fps_p50=82.3 draws_p50=149 draw_p50_us=1301
frame=26100 dt_p50=11153 dt_p95=13194 fps_p50=89.7 draws_p50=98 draw_p50_us=733
frame=26400 dt_p50=11080 dt_p95=14770 fps_p50=90.3 draws_p50=98 draw_p50_us=822
