absent near-centre frames 1925
1440 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1441 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1442 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1443 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1444 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1445 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1446 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1447 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1448 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1449 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1450 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1451 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1452 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1453 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1454 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1455 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1456 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1457 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1458 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1459 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1460 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1461 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1462 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1463 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1464 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1465 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1466 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1467 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1468 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1469 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1470 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1471 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1472 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1473 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1474 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1475 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1476 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1477 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1478 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1479 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1480 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1481 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1482 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1483 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1484 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1485 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1486 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1487 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1488 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1489 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1490 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1491 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1492 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1493 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1494 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1495 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1496 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1497 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1498 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1499 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1500 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1501 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1502 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1503 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1504 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1505 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1506 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1507 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1508 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1509 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1510 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1511 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1512 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1513 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1514 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1515 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1516 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1517 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1518 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1519 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1520 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1521 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1522 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1523 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1524 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1525 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1526 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1527 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1528 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1529 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1530 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1531 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1532 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1533 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1534 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1535 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1536 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1537 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1538 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1539 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1540 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1541 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1542 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1543 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1544 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1545 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1546 angle=22.7 r=0.480 p11=1.7778 esg_row=1
1547 angle=22.7 r=0.479 p11=1.7778 esg_row=1
1548 angle=22.6 r=0.479 p11=1.7778 esg_row=1
1549 angle=22.6 r=0.477 p11=1.7778 esg_row=1
1550 angle=22.6 r=0.476 p11=1.7778 esg_row=1
1551 angle=22.5 r=0.475 p11=1.7778 esg_row=1
1552 angle=22.4 r=0.473 p11=1.7778 esg_row=1
1553 angle=22.4 r=0.471 p11=1.7778 esg_row=1
