/tmp/x3-bottleX3-run262 7063-7093: interior hull px/frame median 90070 (min 69675 max 97281); routed 100.0%; routed disp px/frame p10/p50/p90/p99 [0.3, 4.92, 11.54, 15.64]
 motion_bin px E_taa/E_hdr E_present/E_color
  0-0.5 683382 0.160 0.209
  0.5-1 417320 0.094 0.122
  1-2 100869 0.077 0.100
  2-4 61062 0.070 0.100
  4-8 610718 0.112 0.147
  8-16 804437 0.174 0.221
  16-1e+09 19262 0.144 0.183
 age_bin px E_taa/E_hdr E_present/E_color
  1 1106 1.229 1.255
  2-4 11639 0.253 0.266
  5-16 96955 0.102 0.120
  17-63 161993 0.119 0.158
  64 2425654 0.133 0.170
