/tmp/x3-bottleX3-run262 5824-5854: interior hull px/frame median 37156 (min 34155 max 40832); routed 100.0%; routed disp px/frame p10/p50/p90/p99 [0.3, 0.38, 11.5, 25.42]
 motion_bin px E_taa/E_hdr E_present/E_color
  0-0.5 692906 0.454 0.544
  0.5-1 132340 0.284 0.287
  1-2 116071 0.050 0.073
  2-4 22330 0.042 0.062
  4-8 39584 0.160 0.189
  8-16 84729 0.117 0.164
  16-1e+09 69403 0.076 0.123
 age_bin px E_taa/E_hdr E_present/E_color
  1 3943 1.073 1.104
  2-4 11108 0.241 0.320
  5-16 60968 0.095 0.137
  17-63 98992 0.065 0.101
  64 982353 0.340 0.365
