/tmp/x3-bottleX3-run254 11178-11208: interior hull px/frame median 40504 (min 36814 max 42986); routed 100.0%; routed disp px/frame p10/p50/p90/p99 [0.3, 0.46, 7.07, 26.56]
 motion_bin px E_taa/E_hdr E_present/E_color
  0-0.5 687064 0.460 0.554
  0.5-1 84445 0.375 0.410
  1-2 142727 0.035 0.053
  2-4 148626 0.038 0.056
  4-8 62668 0.039 0.061
  8-16 51997 0.062 0.086
  16-1e+09 63390 0.028 0.054
 age_bin px E_taa/E_hdr E_present/E_color
  1 1160 1.014 1.107
  2-4 5725 0.173 0.228
  5-16 29040 0.060 0.094
  17-63 77742 0.036 0.064
  64 1127254 0.268 0.279
