/tmp/x3-bottleX3-run254 6876-6906: interior hull px/frame median 40991 (min 39520 max 43142); routed 100.0%; routed disp px/frame p10/p50/p90/p99 [0.21, 0.38, 0.99, 1.64]
 motion_bin px E_taa/E_hdr E_present/E_color
  0-0.5 811717 0.347 0.385
  0.5-1 338857 0.121 0.135
  1-2 122270 0.046 0.069
  2-4 733 0.027 0.049
  4-8 0 0.000 0.000
  8-16 0 0.000 0.000
  16-1e+09 0 0.000 0.000
 age_bin px E_taa/E_hdr E_present/E_color
  1 484 1.636 1.792
  2-4 1350 0.686 0.660
  5-16 18095 0.059 0.075
  17-63 10982 0.045 0.062
  64 1242666 0.225 0.244
