/tmp/x3-bottleX3-run263 6105-6135: interior hull px/frame median 36724 (min 34017 max 39353); routed 100.0%; routed disp px/frame p10/p50/p90/p99 [0.3, 0.46, 5.92, 23.01]
 motion_bin px E_taa/E_hdr E_present/E_color
  0-0.5 664901 0.452 0.548
  0.5-1 124555 0.347 0.373
  1-2 157584 0.050 0.073
  2-4 67379 0.053 0.076
  4-8 27598 0.203 0.245
  8-16 59674 0.222 0.277
  16-1e+09 38120 0.139 0.203
 age_bin px E_taa/E_hdr E_present/E_color
  1 4707 1.064 1.124
  2-4 12373 0.261 0.333
  5-16 38821 0.126 0.175
  17-63 64291 0.116 0.161
  64 1019632 0.311 0.337
