/tmp/x3-bottleX3-run263 10980-11010: interior hull px/frame median 42976 (min 37401 max 48774); routed 100.0%; routed disp px/frame p10/p50/p90/p99 [0.3, 0.46, 19.41, 35.53]
 motion_bin px E_taa/E_hdr E_present/E_color
  0-0.5 673792 0.449 0.542
  0.5-1 173819 0.243 0.248
  1-2 122326 0.037 0.055
  2-4 37845 0.032 0.048
  4-8 42802 0.152 0.208
  8-16 92725 0.179 0.244
  16-1e+09 173174 0.165 0.240
 age_bin px E_taa/E_hdr E_present/E_color
  1 3373 1.082 1.131
  2-4 13373 0.228 0.300
  5-16 53897 0.158 0.210
  17-63 100376 0.134 0.188
  64 1145464 0.281 0.314
