frame dt_ms draws prims max_prims c_draws c_prims casters caster_prims replay_draws replay_us bounds
3351 791 447 729815 59029 28 9765 473 938174 336 936 421
3352 723 447 729807 59029 28 9765 473 938174 336 821 421
3353 778 447 729811 59029 28 9765 473 938174 336 809 421
3354 760 447 729805 59029 28 9765 473 938174 336 864 421
3355 759 447 729807 59029 28 9765 473 938174 336 822 421
3356 824 447 729807 59029 28 9765 473 938174 336 818 421
3357 804 447 729811 59029 28 9765 473 938174 336 810 421
3358 816 447 729813 59029 28 9765 473 938174 336 814 421
