OTHER gpu_sync_timing_mode requested=1 passes=14 boundaries=28 window=300 serialises=1
OTHER gpu_sync_timing available=1 reason=ok result=00000000 device=1 event=create queries=28 references=28 window=300 spin_limit_ms=500
   taa            n= 300 med=  2.824 p90=  3.251 wait= 2.581 med-floor=  2.560
   present        n= 300 med=  1.759 p90=  4.139 wait= 0.594 med-floor=  1.495
   bloom          n= 300 med=  1.287 p90=  1.568 wait= 0.885 med-floor=  1.023
   hdr_writeback  n= 300 med=  1.130 p90=  1.346 wait= 0.654 med-floor=  0.866
   shadow_depth   n= 300 med=  0.898 p90=  0.994 wait= 0.767 med-floor=  0.634
   sun_apply      n= 300 med=  0.771 p90=  0.925 wait= 0.670 med-floor=  0.507
   hdr_readback   n= 300 med=  0.390 p90=  0.500 wait= 0.022 med-floor=  0.126
   meter          n= 300 med=  0.388 p90=  0.501 wait= 0.313 med-floor=  0.124
   motes          n= 300 med=  0.256 p90=  0.417 wait= 0.239 med-floor=  0.000
   retention      n= 300 med=  0.066 p90=  0.175 wait= 0.019 med-floor=  0.000
   fog_fill       n= 300 med=  0.023 p90=  0.041 wait= 0.016 med-floor=  0.000
W7 frames=1800..2099 dt_med=23.1 dt_p90=25.3 dropped=0 unclosed=0
   scene          n= 300 med= 19.326 p90= 20.120 wait= 1.058 med-floor= 19.062
   engine         n= 300 med=  4.991 p90=  5.255 wait= 1.572 med-floor=  4.727
   fog_route      n= 300 med=  4.522 p90=  4.883 wait= 0.020 med-floor=  4.258
   taa            n= 300 med=  2.808 p90=  2.945 wait= 2.580 med-floor=  2.544
   present        n= 300 med=  1.645 p90=  3.948 wait= 0.546 med-floor=  1.381
   bloom          n= 300 med=  1.240 p90=  1.359 wait= 0.848 med-floor=  0.976
   hdr_writeback  n= 300 med=  1.091 p90=  1.212 wait= 0.648 med-floor=  0.827
   shadow_depth   n= 300 med=  0.881 p90=  0.907 wait= 0.756 med-floor=  0.617
   sun_apply      n= 300 med=  0.742 p90=  0.859 wait= 0.659 med-floor=  0.478
   hdr_readback   n= 300 med=  0.384 p90=  0.416 wait= 0.021 med-floor=  0.120
   meter          n= 300 med=  0.376 p90=  0.411 wait= 0.309 med-floor=  0.112
   motes          n= 300 med=  0.216 p90=  0.340 wait= 0.207 med-floor=  0.000
   retention      n= 300 med=  0.062 p90=  0.072 wait= 0.018 med-floor=  0.000
   fog_fill       n= 300 med=  0.023 p90=  0.028 wait= 0.016 med-floor=  0.000
W8 frames=2100..2399 dt_med=23.9 dt_p90=26.6 dropped=0 unclosed=0
   scene          n= 300 med= 19.325 p90= 20.975 wait= 1.068 med-floor= 19.061
   engine         n= 300 med=  4.994 p90=  5.296 wait= 1.589 med-floor=  4.730
   fog_route      n= 300 med=  4.522 p90=  5.165 wait= 0.020 med-floor=  4.258
   taa            n= 300 med=  2.811 p90=  3.040 wait= 2.582 med-floor=  2.547
   present        n= 300 med=  1.673 p90=  3.274 wait= 0.554 med-floor=  1.409
   bloom          n= 300 med=  1.249 p90=  1.367 wait= 0.868 med-floor=  0.985
   hdr_writeback  n= 300 med=  1.095 p90=  1.242 wait= 0.650 med-floor=  0.831
   shadow_depth   n= 300 med=  0.879 p90=  0.940 wait= 0.756 med-floor=  0.615
   sun_apply      n= 300 med=  0.744 p90=  0.864 wait= 0.660 med-floor=  0.480
   hdr_readback   n= 300 med=  0.390 p90=  0.449 wait= 0.021 med-floor=  0.126
   meter          n= 300 med=  0.379 p90=  0.466 wait= 0.310 med-floor=  0.115
   motes          n= 300 med=  0.219 p90=  0.355 wait= 0.210 med-floor=  0.000
   retention      n= 300 med=  0.062 p90=  0.083 wait= 0.018 med-floor=  0.000
   fog_fill       n= 300 med=  0.023 p90=  0.034 wait= 0.016 med-floor=  0.000
