OTHER gpu_sync_timing_mode requested=1 passes=14 boundaries=28 window=300 serialises=1
OTHER gpu_sync_timing available=1 reason=ok result=00000000 device=1 event=create queries=28 references=28 window=300 spin_limit_ms=500
   taa            n= 300 med=  2.681 p90=  2.800 wait= 2.456 med-floor=  2.417
   present        n= 300 med=  1.613 p90=  3.709 wait= 0.548 med-floor=  1.349
   bloom          n= 300 med=  1.181 p90=  1.306 wait= 0.799 med-floor=  0.917
   hdr_writeback  n= 300 med=  1.082 p90=  1.195 wait= 0.645 med-floor=  0.818
   shadow_depth   n= 300 med=  0.875 p90=  0.922 wait= 0.752 med-floor=  0.611
   sun_apply      n= 300 med=  0.737 p90=  0.795 wait= 0.656 med-floor=  0.473
   hdr_readback   n= 300 med=  0.386 p90=  0.481 wait= 0.019 med-floor=  0.122
   meter          n= 300 med=  0.374 p90=  0.410 wait= 0.308 med-floor=  0.110
   motes          n= 300 med=  0.215 p90=  0.336 wait= 0.205 med-floor=  0.000
   retention      n= 300 med=  0.061 p90=  0.087 wait= 0.017 med-floor=  0.000
   fog_fill       n= 300 med=  0.022 p90=  0.028 wait= 0.016 med-floor=  0.000
W7 frames=1800..2099 dt_med=23.1 dt_p90=26.7 dropped=0 unclosed=0
   scene          n= 300 med= 19.160 p90= 21.898 wait= 1.028 med-floor= 18.896
   engine         n= 300 med=  4.909 p90=  5.512 wait= 1.566 med-floor=  4.645
   fog_route      n= 300 med=  4.600 p90=  5.387 wait= 0.019 med-floor=  4.336
   taa            n= 300 med=  2.700 p90=  3.017 wait= 2.465 med-floor=  2.436
   present        n= 300 med=  1.633 p90=  3.936 wait= 0.558 med-floor=  1.369
   bloom          n= 300 med=  1.225 p90=  1.414 wait= 0.816 med-floor=  0.961
   hdr_writeback  n= 300 med=  1.086 p90=  1.273 wait= 0.645 med-floor=  0.822
   shadow_depth   n= 300 med=  0.880 p90=  0.974 wait= 0.757 med-floor=  0.616
   sun_apply      n= 300 med=  0.739 p90=  0.874 wait= 0.657 med-floor=  0.475
   hdr_readback   n= 300 med=  0.393 p90=  0.504 wait= 0.020 med-floor=  0.129
   meter          n= 300 med=  0.377 p90=  0.482 wait= 0.309 med-floor=  0.113
   motes          n= 300 med=  0.221 p90=  0.378 wait= 0.211 med-floor=  0.000
   retention      n= 300 med=  0.061 p90=  0.082 wait= 0.017 med-floor=  0.000
   fog_fill       n= 300 med=  0.023 p90=  0.033 wait= 0.016 med-floor=  0.000
W8 frames=2100..2399 dt_med=23.4 dt_p90=25.8 dropped=0 unclosed=0
   scene          n= 300 med= 19.004 p90= 20.328 wait= 1.029 med-floor= 18.740
   engine         n= 300 med=  4.840 p90=  5.182 wait= 1.580 med-floor=  4.576
   fog_route      n= 300 med=  4.473 p90=  4.950 wait= 0.019 med-floor=  4.209
   taa            n= 300 med=  2.784 p90=  2.931 wait= 2.564 med-floor=  2.520
   present        n= 300 med=  1.625 p90=  4.350 wait= 0.551 med-floor=  1.361
   bloom          n= 300 med=  1.233 p90=  1.337 wait= 0.827 med-floor=  0.969
   hdr_writeback  n= 300 med=  1.084 p90=  1.222 wait= 0.646 med-floor=  0.820
   shadow_depth   n= 300 med=  0.872 p90=  0.906 wait= 0.751 med-floor=  0.608
   sun_apply      n= 300 med=  0.740 p90=  0.855 wait= 0.658 med-floor=  0.476
   hdr_readback   n= 300 med=  0.389 p90=  0.495 wait= 0.019 med-floor=  0.125
   meter          n= 300 med=  0.374 p90=  0.408 wait= 0.308 med-floor=  0.110
   motes          n= 300 med=  0.216 p90=  0.337 wait= 0.207 med-floor=  0.000
   retention      n= 300 med=  0.060 p90=  0.175 wait= 0.017 med-floor=  0.000
   fog_fill       n= 300 med=  0.022 p90=  0.029 wait= 0.016 med-floor=  0.000
W9 frames=2400..2699 dt_med=23.4 dt_p90=26.3 dropped=0 unclosed=35
   scene          n= 299 med= 18.862 p90= 20.504 wait= 1.038 med-floor= 18.598
   engine         n= 264 med=  4.847 p90=  5.162 wait= 1.577 med-floor=  4.583
   fog_route      n= 264 med=  4.417 p90=  4.947 wait= 0.019 med-floor=  4.153
   taa            n= 264 med=  2.730 p90=  2.919 wait= 2.486 med-floor=  2.466
   present        n= 300 med=  1.677 p90=  3.992 wait= 0.563 med-floor=  1.413
   bloom          n= 264 med=  1.210 p90=  1.369 wait= 0.817 med-floor=  0.946
   hdr_writeback  n= 264 med=  1.086 p90=  1.215 wait= 0.646 med-floor=  0.822
   shadow_depth   n= 264 med=  0.871 p90=  0.905 wait= 0.751 med-floor=  0.607
   sun_apply      n= 264 med=  0.739 p90=  0.854 wait= 0.657 med-floor=  0.475
   hdr_readback   n= 264 med=  0.387 p90=  0.492 wait= 0.020 med-floor=  0.123
   meter          n= 264 med=  0.374 p90=  0.444 wait= 0.307 med-floor=  0.110
   motes          n= 264 med=  0.218 p90=  0.342 wait= 0.209 med-floor=  0.000
   retention      n= 264 med=  0.061 p90=  0.081 wait= 0.017 med-floor=  0.000
   fog_fill       n= 264 med=  0.022 p90=  0.033 wait= 0.016 med-floor=  0.000
