   1 draws    1712 prim model=00004fee cam=0ba8 ovl=0 ctxlod=[0] lods=3 thr=100000,20,5 nodes=1+0nocensus s=66,d=17007733,r=1755931,lod=0,kept body=environments\asteroids\asteroid_A_ClassMine
   1 draws    1712 prim model=00004fef cam=0ba8 ovl=0 ctxlod=[0] lods=5 thr=100000,20,5,2,30 nodes=1+0nocensus s=81,d=7996701,r=1016512,lod=0,kept body=environments\asteroids\asteroid_B_ClassMine
   1 draws    2592 prim model=00005427 cam=0ba8 ovl=0 ctxlod=[3] lods=5 thr=100000,250,150,80,30 nodes=1+0nocensus s=23,d=15420470,r=570149,lod=3,kept body=stations\station_scenes\tech\argon_tech_S_laser_A
   1 draws     360 prim model=00004e86 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=100000 nodes=1+0nocensus s=212,d=12573,r=4170,lod=0,kept body=effects\engines\fx_engine_argon_M3
   1 draws       2 prim model=00005697 cam=33f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=0,r=256,lod=0,kept body=effects/menugfx/hud_info_2d
   1 draws       2 prim model=00005698 cam=33f8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=117440512,d=206,r=256,lod=0,kept body=effects/menugfx/hud_weapons_2d
   1 draws       2 prim model=0000569b cam=4e08 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=640,d=1024,r=1024,lod=0,kept body=effects/menugfx/GUI/sidebar
   1 draws       2 prim model=0000568d cam=f800 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=247,d=1325,r=512,lod=0,kept body=effects\menugfx\GUI\gui_master
frame 18469 draws=324 by camera={'477f1340': 5, '477f0ba8': 302, '00000000': 8, '477eaee0': 3, '114a33f8': 4, '477d4e08': 1, '4769f800': 1}
  56 draws    3456 prim model=35b8bf23 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=8+0nocensus s=6,d=1532168,r=16354,lod=0,kept s=6,d=1533495,r=16354,lod=0,kept s=6,d=1536470,r=16354,lod=0,kept body=-
  35 draws  107397 prim model=00005411 cam=0ba8 ovl=1 ctxlod=[0] lods=3 thr=100000,250,278 nodes=1+0nocensus s=338,d=3696985,r=1953631,lod=0,kept body=stations\station_scenes\others\argon_spacedock
  32 draws   18075 prim model=00004f75 cam=0ba8 ovl=1 ctxlod=[0] lods=3 thr=100000,30,120 nodes=1+0nocensus s=218,d=1494979,r=511093,lod=0,kept body=ships\argon\argon_M1
  25 draws    3994 prim model=35ba45c3 cam=0ba8 ovl=0 ctxlod=[0] lods=1 thr=10000 nodes=1+0nocensus s=16,d=1495579,r=39157,lod=0,kept body=-
  25 draws  152900 prim model=0000546d cam=0ba8 ovl=0 ctxlod=[0] lods=5 thr=100000,250,150,80,30 nodes=1+0nocensus s=150,d=6657378,r=1567294,lod=0,kept body=stations\station_scenes\others\argon_L_solarpowerplant
  18 draws   15602 prim model=00005526 cam=0ba8 ovl=0 ctxlod=[1] lods=4 thr=100000,30,15,5 nodes=1+0nocensus s=5,d=3641065,r=31646,lod=1,kept body=ships\mm6\argon_mm6
  15 draws   13563 prim model=00005429 cam=0ba8 ovl=0 ctxlod=[2] lods=5 thr=100000,250,150,80,30 nodes=1+0nocensus s=35,d=15411203,r=851752,lod=2,kept body=stations\station_scenes\tech\argon_tech_S_laser_C
  15 draws   19231 prim model=0000542e cam=0ba8 ovl=0 ctxlod=[2] lods=5 thr=100000,250,150,80,30 nodes=1+0nocensus s=30,d=12882454,r=620972,lod=2,kept body=stations\station_scenes\tech\argon_tech_L_laser_Q
