frames shadow_depth sun_apply taa_mask taa_box taa_resolve taa scene dt_median_us
0..299 - - - - - - 19292 24042
300..599 843 1536 1539 2458 2678 6825 20944 24894
600..899 876 1664 1548 2455 2790 6962 23679 27329
900..1199 897 1552 1444 2355 2673 6728 26143 30881
1200..1499 985 1453 1449 2356 2571 6649 26091 33438
1500..1799 1002 1437 1435 2346 2667 6615 26283 30423
1800..2099 74 - 5767 4450 3230 15789 19898 22993
2100..2399 1772 1450 1437 2355 2561 6610 32921 38257
2400..2699 2418 1448 1434 2356 2568 6636 30521 35150
