ROW fov site=0041c9dc status=patched reason=ok value=0x3470 vertical_deg=58.72 setting=58.7155 write=atomic registry=absent registry_before=-
ROW fov_confirm frame=0 registry=absent focus=- expected=0x3470 match=0 vertical_deg=- camera=skipped
ROW cull_small_parts_value px=4 m00=0.375001401 width=5120 threshold=3 focus=0x4000
ROW fov_confirm frame=4 registry=2f881a90 focus=0x3470 expected=0x3470 match=1 vertical_deg=58.72 camera=skipped
camera_state valid runs (first..last frame, p00, p11, background_p00, rows, F_deg=2*atan(1/(0.75*p11)), vertical_deg=2*atan(1/p11))
2111..2241 p00=0.5356 p11=1.9042 bg_p00=0.5356 rows=131 F_deg=70.00 F=0x31c7 vert=55.41
2242..2266 p00=0.5257 p11=1.8693 bg_p00=0.5257 rows=25 F_deg=71.00 F=0x327d vert=56.29
2267..2271 p00=0.5162 p11=1.8352 bg_p00=0.5162 rows=5 F_deg=72.00 F=0x3333 vert=57.17
2272..2277 p00=0.5068 p11=1.8019 bg_p00=0.5068 rows=6 F_deg=73.00 F=0x33e9 vert=58.06
2278..2282 p00=0.4977 p11=1.7694 bg_p00=0.4977 rows=5 F_deg=74.00 F=0x349f vert=58.95
2283..2287 p00=0.4887 p11=1.7377 bg_p00=0.4887 rows=5 F_deg=75.00 F=0x3555 vert=59.84
2288..2292 p00=0.48 p11=1.7067 bg_p00=0.48 rows=5 F_deg=76.00 F=0x360b vert=60.73
2293..2298 p00=0.4715 p11=1.6763 bg_p00=0.4715 rows=6 F_deg=77.00 F=0x36c1 vert=61.64
2299..2303 p00=0.4631 p11=1.6466 bg_p00=0.4631 rows=5 F_deg=78.00 F=0x3777 vert=62.54
2304..2308 p00=0.4549 p11=1.6175 bg_p00=0.4549 rows=5 F_deg=79.00 F=0x382d vert=63.45
2309..2314 p00=0.4469 p11=1.5891 bg_p00=0.4469 rows=6 F_deg=80.00 F=0x38e3 vert=64.36
2315..2319 p00=0.4391 p11=1.5612 bg_p00=0.4391 rows=5 F_deg=81.00 F=0x3999 vert=65.28
2320..2325 p00=0.4314 p11=1.5339 bg_p00=0.4314 rows=6 F_deg=82.00 F=0x3a4f vert=66.20
2326..2332 p00=0.4239 p11=1.5072 bg_p00=0.4239 rows=7 F_deg=82.99 F=0x3b05 vert=67.13
2333..2338 p00=0.4165 p11=1.4809 bg_p00=0.4165 rows=6 F_deg=84.00 F=0x3bbb vert=68.06
2339..2344 p00=0.4093 p11=1.4552 bg_p00=0.4093 rows=6 F_deg=85.00 F=0x3c71 vert=68.99
2345..2350 p00=0.4022 p11=1.4299 bg_p00=0.4022 rows=6 F_deg=86.00 F=0x3d27 vert=69.93
2351..2356 p00=0.3952 p11=1.4052 bg_p00=0.3952 rows=6 F_deg=86.99 F=0x3ddd vert=70.87
2357..2362 p00=0.3884 p11=1.3808 bg_p00=0.3884 rows=6 F_deg=88.00 F=0x3e93 vert=71.83
2363..2374 p00=0.3816 p11=1.3569 bg_p00=0.3816 rows=12 F_deg=89.00 F=0x3f49 vert=72.78
2375..2386 p00=0.375 p11=1.3333 bg_p00=0.375 rows=12 F_deg=90.00 F=0x4000 vert=73.74
2387..2405 p00=0.3685 p11=1.3103 bg_p00=0.3685 rows=19 F_deg=91.00 F=0x40b6 vert=74.70
2406..2456 p00=0.3621 p11=1.2876 bg_p00=0.3621 rows=51 F_deg=92.00 F=0x416c vert=75.67
2457..2467 p00=0.3559 p11=1.2653 bg_p00=0.3559 rows=11 F_deg=93.00 F=0x4222 vert=76.64
2468..2474 p00=0.3497 p11=1.2434 bg_p00=0.3497 rows=7 F_deg=94.00 F=0x42d8 vert=77.62
2475..2480 p00=0.3436 p11=1.2218 bg_p00=0.3436 rows=6 F_deg=95.00 F=0x438e vert=78.60
2481..2486 p00=0.3377 p11=1.2006 bg_p00=0.3377 rows=6 F_deg=96.00 F=0x4444 vert=79.58
2487..2492 p00=0.3318 p11=1.1797 bg_p00=0.3318 rows=6 F_deg=97.00 F=0x44fa vert=80.57
2493..2498 p00=0.326 p11=1.1591 bg_p00=0.326 rows=6 F_deg=98.00 F=0x45b0 vert=81.57
2499..2511 p00=0.3203 p11=1.1388 bg_p00=0.3203 rows=13 F_deg=99.00 F=0x4666 vert=82.57
2512..12182 p00=0.3147 p11=1.1188 bg_p00=0.3147 rows=9671 F_deg=100.00 F=0x471c vert=83.58
runs 72
